NAME,AGE,GENDER,STRESS,MEDITATE,DATE (YYYYMMDD),BASELINE START,BASELINE DURATION(s),STROOP START,STROOP DURATION(s),REACTION TIME DIFFERENCE(s)
Jayden,28,Non-binary,3,no,2018-09-05,17:17:00,10.093,17:17:16,16.489,6.397
Brandon,22,Male,2,yes,2018-09-05,17:28:34,4.563,17:28:39,8.899,4.337
Sarah,36,Female,4,no,2018-09-05,19:12:44,4.098,19:12:49,13.944,9.846
Tammy,33,Trans,2,yes,2018-09-05,19:14:35,2.995,19:14:39,3.83,0.835
Skywalker,48,Bigender,3,yes,2018-09-05,19:16:48,3.061,19:16:52,9.213,6.152
Padawan,18,Other,2,no,2018-09-05,19:18:28,3.696,19:18:33,8.318,4.622
R2d2,120,Other,0,no,2018-09-05,19:40:56,2.418,19:40:59,5.424,3.006
Leia,24,Female,3,yes,2018-09-05,19:45:58,6.755,19:46:07,9.654,2.899
